trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,relative_values,chosen_high_reward_side,high_reward_proportion,reward_proportion
156,0.2,0.75,1.0,0.19047619047619047,0.8095238095238095,0.1,0.8,0.7000000000000001,0.6899619584950034,True,0.6190476190476191,0.5714285714285714
157,0.2,0.75,1.0,0.14285714285714285,0.8571428571428571,0.1,0.8,0.7000000000000001,0.7746358276622503,True,0.6190476190476191,0.5714285714285714
158,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.1,0.8,0.7000000000000001,0.8343852182700378,True,0.6190476190476191,0.5714285714285714
159,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.1,0.7,0.6,0.5821882997699726,True,0.5714285714285714,0.5714285714285714
160,0.2,0.75,1.0,0.09523809523809523,0.9047619047619048,0.1,0.7,0.6,0.6985862683859024,True,0.5238095238095238,0.5238095238095238
161,0.7,0.2,1.0,0.09523809523809523,0.9047619047619048,0.1,0.7,0.6,0.780721498075824,False,0.47619047619047616,0.5714285714285714
162,0.7,0.2,1.0,0.09523809523809523,0.9047619047619048,0.1,0.8,0.7000000000000001,0.838679519478037,False,0.42857142857142855,0.5238095238095238
163,0.7,0.2,1.0,0.09523809523809523,0.9047619047619048,0.1,0.7,0.6,0.5852185366398319,False,0.38095238095238093,0.47619047619047616
164,0.7,0.2,1.0,0.09523809523809523,0.9047619047619048,0.1,0.6,0.5,0.4063659648089507,False,0.3333333333333333,0.47619047619047616
165,0.7,0.2,1.0,0.14285714285714285,0.8571428571428571,0.1,0.6,0.5,0.28016017923863296,False,0.3333333333333333,0.42857142857142855
166,0.7,0.2,-1.0,0.14285714285714285,0.8571428571428571,0.1,0.6,0.5,0.4854627117840575,True,0.38095238095238093,0.42857142857142855
167,0.7,0.2,1.0,0.19047619047619047,0.8095238095238095,0.1,0.6,0.5,0.19769263111165242,False,0.38095238095238093,0.42857142857142855
